year,cancerType,state,stat,value
1999,Infectious,AL,deaths,1092
1999,Infectious,AL,population,4430141
1999,Infectious,AL,crude_rate,24.6
2000,Infectious,AL,deaths,1188
2000,Infectious,AL,population,4447100
2000,Infectious,AL,crude_rate,26.7
2001,Infectious,AL,deaths,1211
2001,Infectious,AL,population,4467634
2001,Infectious,AL,crude_rate,27.1
2002,Infectious,AL,deaths,1215
2002,Infectious,AL,population,4480089
2002,Infectious,AL,crude_rate,27.1
2003,Infectious,AL,deaths,1350
2003,Infectious,AL,population,4503491
2003,Infectious,AL,crude_rate,30
2004,Infectious,AL,deaths,1251
2004,Infectious,AL,population,4530729
2004,Infectious,AL,crude_rate,27.6
2005,Infectious,AL,deaths,1303
2005,Infectious,AL,population,4569805
2005,Infectious,AL,crude_rate,28.5
2006,Infectious,AL,deaths,1312
2006,Infectious,AL,population,4628981
2006,Infectious,AL,crude_rate,28.3
2007,Infectious,AL,deaths,1241
2007,Infectious,AL,population,4672840
2007,Infectious,AL,crude_rate,26.6
2008,Infectious,AL,deaths,1385
2008,Infectious,AL,population,4718206
2008,Infectious,AL,crude_rate,29.4
2009,Infectious,AL,deaths,1381
2009,Infectious,AL,population,4757938
2009,Infectious,AL,crude_rate,29
2010,Infectious,AL,deaths,1358
2010,Infectious,AL,population,4779736
2010,Infectious,AL,crude_rate,28.4
1999,Infectious,AK,deaths,61
1999,Infectious,AK,population,624779
1999,Infectious,AK,crude_rate,9.8
2000,Infectious,AK,deaths,51
2000,Infectious,AK,population,626932
2000,Infectious,AK,crude_rate,8.1
2001,Infectious,AK,deaths,58
2001,Infectious,AK,population,633714
2001,Infectious,AK,crude_rate,9.2
2002,Infectious,AK,deaths,67
2002,Infectious,AK,population,642337
2002,Infectious,AK,crude_rate,10.4
2003,Infectious,AK,deaths,61
2003,Infectious,AK,population,648414
2003,Infectious,AK,crude_rate,9.4
2004,Infectious,AK,deaths,53
2004,Infectious,AK,population,659286
2004,Infectious,AK,crude_rate,8
2005,Infectious,AK,deaths,68
2005,Infectious,AK,population,666946
2005,Infectious,AK,crude_rate,10.2
2006,Infectious,AK,deaths,65
2006,Infectious,AK,population,675302
2006,Infectious,AK,crude_rate,9.6
2007,Infectious,AK,deaths,78
2007,Infectious,AK,population,680300
2007,Infectious,AK,crude_rate,11.5
2008,Infectious,AK,deaths,70
2008,Infectious,AK,population,687455
2008,Infectious,AK,crude_rate,10.2
2009,Infectious,AK,deaths,73
2009,Infectious,AK,population,698895
2009,Infectious,AK,crude_rate,10.4
2010,Infectious,AK,deaths,88
2010,Infectious,AK,population,710231
2010,Infectious,AK,crude_rate,12.4
1999,Infectious,AZ,deaths,789
1999,Infectious,AZ,population,5023823
1999,Infectious,AZ,crude_rate,15.7
2000,Infectious,AZ,deaths,779
2000,Infectious,AZ,population,5130632
2000,Infectious,AZ,crude_rate,15.2
2001,Infectious,AZ,deaths,843
2001,Infectious,AZ,population,5273477
2001,Infectious,AZ,crude_rate,16
2002,Infectious,AZ,deaths,967
2002,Infectious,AZ,population,5396255
2002,Infectious,AZ,crude_rate,17.9
2003,Infectious,AZ,deaths,1097
2003,Infectious,AZ,population,5510364
2003,Infectious,AZ,crude_rate,19.9
2004,Infectious,AZ,deaths,1056
2004,Infectious,AZ,population,5652404
2004,Infectious,AZ,crude_rate,18.7
2005,Infectious,AZ,deaths,1097
2005,Infectious,AZ,population,5839077
2005,Infectious,AZ,crude_rate,18.8
2006,Infectious,AZ,deaths,1281
2006,Infectious,AZ,population,6029141
2006,Infectious,AZ,crude_rate,21.2
2007,Infectious,AZ,deaths,1194
2007,Infectious,AZ,population,6167681
2007,Infectious,AZ,crude_rate,19.4
2008,Infectious,AZ,deaths,1183
2008,Infectious,AZ,population,6280362
2008,Infectious,AZ,crude_rate,18.8
2009,Infectious,AZ,deaths,1311
2009,Infectious,AZ,population,6343154
2009,Infectious,AZ,crude_rate,20.7
2010,Infectious,AZ,deaths,1249
2010,Infectious,AZ,population,6392017
2010,Infectious,AZ,crude_rate,19.5
1999,Infectious,AR,deaths,702
1999,Infectious,AR,population,2651860
1999,Infectious,AR,crude_rate,26.5
2000,Infectious,AR,deaths,636
2000,Infectious,AR,population,2673400
2000,Infectious,AR,crude_rate,23.8
2001,Infectious,AR,deaths,719
2001,Infectious,AR,population,2691571
2001,Infectious,AR,crude_rate,26.7
2002,Infectious,AR,deaths,771
2002,Infectious,AR,population,2705927
2002,Infectious,AR,crude_rate,28.5
2003,Infectious,AR,deaths,768
2003,Infectious,AR,population,2724816
2003,Infectious,AR,crude_rate,28.2
2004,Infectious,AR,deaths,739
2004,Infectious,AR,population,2749686
2004,Infectious,AR,crude_rate,26.9
2005,Infectious,AR,deaths,784
2005,Infectious,AR,population,2781097
2005,Infectious,AR,crude_rate,28.2
2006,Infectious,AR,deaths,747
2006,Infectious,AR,population,2821761
2006,Infectious,AR,crude_rate,26.5
